# Number of Traces
474
# TraceId; FracturesId1; FracturesId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 5.4654852181428448e-01; 6.9052767800517745e-01; -9.0930588885243413e-02; 6.0654762549414987e-02; 1.0345903503281990e+00; 2.2650869811942531e-01
1; 0; 6; 5.2367529081676190e-01; 1.0735186819128368e+00; 4.6597960550042589e-02; 3.6781326790671798e-01; 6.8171494252089015e-01; -1.9404528350684166e-02
2; 0; 8; 4.1782091083768874e-01; 5.3004240780159440e-01; -9.0930588885243413e-02; 2.8248513440244249e-01; 5.2491838870804408e-01; -3.6254440306971919e-02
3; 0; 11; 1.6097959353991506e-01; 2.3056856008856841e-01; -8.4002032784752989e-02; 7.1815569848489913e-02; 5.8224085486615862e-01; 7.0680125497282781e-02
4; 0; 22; -2.0916890436406690e-01; 3.6573223147044065e-01; 1.1539565664922152e-01; -1.1231544745610725e-01; 7.6534186588019071e-01; 2.0859327620463800e-01
5; 0; 38; 3.6821996623174577e-02; 1.7031812661146983e-01; -5.2406984008583402e-02; 1.5149291593877620e-01; 6.2582168352711698e-01; 5.2046997701574435e-02
6; 0; 39; 3.2995350022406905e-01; 4.5531427352811715e-01; -7.9294657144429639e-02; 2.0351122525888571e-01; 1.0030330066471429e+00; 1.5643983507302264e-01
7; 1; 3; 4.5279596528032007e-01; 3.3617419485943989e-01; 6.7759570734018326e-01; -9.6835390357929638e-04; 8.3153831646382070e-01; 8.4919171765252854e-01
8; 1; 4; 4.5566810363402299e-01; 3.8173449625880285e-01; 6.9501869969472840e-01; 3.8631052466342053e-01; 6.1379397738286623e-01; 7.8067274338015491e-01
9; 1; 5; 2.2475099375301200e-01; 1.1681157113780474e+00; 9.8542638993839837e-01; 6.2282847980780554e-01; 3.7003769166801492e-01; 6.9672134289185750e-01
10; 1; 7; -1.4754722965866462e-01; 3.9427008050338952e-01; 6.7759570734018326e-01; -3.8296863823644178e-01; 6.5265985121711112e-01; 7.6714958980140180e-01
