# Number of Traces
8953
# TraceId; FracturesId1; FracturesId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 1; 9.4484545065182535e-01; 3.9767031338443626e-01; 1.1151029967997411e-01; 7.8302285504736491e-01; 8.0383492584217076e-01; 6.0034976724476596e-01
1; 0; 2; 5.2033811142091535e-01; 5.2037353700970468e-01; 7.1575364390421525e-01; 5.5640767590318752e-01; 4.0158764875456843e-01; 5.8647127258160192e-01
2; 0; 3; 8.4927465371300659e-01; 2.3616722686611782e-01; 1.1151029967997411e-01; 4.1324663174957010e-01; 3.3940189022299794e-01; 7.1575364390421525e-01
3; 0; 7; 7.6494720609248246e-01; 9.3664040692573808e-02; 1.1151029967997411e-01; 7.0742458730741453e-01; 1.0226675067458538e-01; 1.8761636881468224e-01
4; 0; 8; 1.1056296468426845e+00; 6.6937615638178916e-01; 1.1151029967997411e-01; 1.2174917013096802e+00; 1.0908573556648067e+00; 2.7870492850668849e-01
5; 0; 9; 9.6690580485912347e-01; 4.3494964355939353e-01; 1.1151029967997411e-01; 8.6243475786109780e-01; 1.0073887528205498e+00; 6.5023695895702494e-01
6; 0; 10; 5.1316862652088258e-01; 2.1721933382771941e-01; 5.0641595444311260e-01; 9.4137401544345745e-01; 5.5811137268008382e-01; 2.3113152727958186e-01
7; 0; 12; 8.2810199439198406e-01; 2.0038799367279200e-01; 1.1151029967997411e-01; 5.4668715693823067e-01; 2.4504504585399817e-01; 4.8568884423329778e-01
8; 0; 14; 7.9989063190070420e-01; 9.9278348175845377e-01; 7.1575364390421514e-01; 9.6483648494712515e-01; 8.1178140308734426e-01; 3.8507233474214042e-01
9; 0; 16; 4.8013640793848722e-01; 4.5243752094966516e-01; 7.1575364390421525e-01; 4.8582549801466790e-01; 2.3339985791846532e-01; 5.5128962525491976e-01
10; 0; 18; 9.7396926933660455e-01; 4.4688604412489225e-01; 1.1151029967997411e-01; 1.0161901679793237e+00; 6.2073638195545289e-01; 1.8523782326151106e-01
11; 0; 19; 1.0680173096882828e+00; 7.1910331792473425e-01; 1.9299547775080828e-01; 1.1595941553983036e+00; 1.0592430566084636e+00; 3.2633950932934241e-01
12; 0; 20; 7.5706957473789827e-01; 9.2042107481736979e-01; 7.1575364390421514e-01; 4.3040076405691119e-01; 2.6619790598464893e-01; 6.4224890469096108e-01
13; 0; 22; 7.1372514142270027e-01; 9.8538345286582368e-02; 1.7727633068638060e-01; 7.9738052179470509e-01; 4.8366834054361768e-01; 3.5260934781750497e-01
14; 0; 23; 9.7827791996053948e-01; 4.5416714250204654e-01; 1.1151029967997411e-01; 5.9208647757478072e-01; 1.7051903799736956e-01; 3.7690137938038826e-01
15; 0; 25; 7.3801849727447011e-01; 8.8822705833540094e-01; 7.1575364390421514e-01; 6.1400786517880068e-01; 2.5394355637029870e-01; 4.1026151062911975e-01
